bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack29,POINT (11.1247174965 46.0678191594),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack29-rastrelliere.22
http://qrowd-project.eu/resource/rastrelliere.7,"LINESTRING (11.126011484934207 46.07076669235656, 11.126008584559779 46.070723986754295)",,,,monofacciale,8,,,via della Mostra  n.posti  8  -  monofacciale,via della Mostra  n.posti  8  -  monofacciale,ZTL,via della Mostra,trento,http://example.org/cluster/bikerack20-rastrelliere.7
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack6,POINT (11.1226542426 46.0684144598),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node880590952,POINT(11.1227012 46.0678245),http://linkedgeodata.org/triplify/user330007,2011-07-08T10:57:43,,,8,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack9,POINT (11.1227971231 46.067803012),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node1638162310,POINT(11.1230963 46.07015),http://linkedgeodata.org/triplify/user330007,2012-02-18T21:34:17,,,6,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.24,"LINESTRING (11.122642581499134 46.06786012319607, 11.122713663197347 46.06784859027226)",,,,monofacciale,8,,,piazza Lodron  n.posti  8  -  monofacciale,piazza Lodron  n.posti  8  -  monofacciale,ZTL,piazza Lodron,trento,
http://linkedgeodata.org/triplify/node1312440679,POINT(11.1201203 46.0670231),http://linkedgeodata.org/triplify/user330007,2013-04-02T12:13:07,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.12,"LINESTRING (11.124457328311555 46.06929504193771, 11.124503243427649 46.06929674119393)",,,,monofacciale,4,,,via S. Pietro  n.posti  4  -  monofacciale,via S. Pietro  n.posti  4  -  monofacciale,ZTL,via S. Pietro,trento,
http://linkedgeodata.org/triplify/node1368300341,POINT(11.126182 46.0671202),http://linkedgeodata.org/triplify/user330007,2011-07-20T22:22:29,,,20,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.19,"LINESTRING (11.12407790741073 46.06844043776531, 11.124153193320831 46.068442867632704)",,,,monofacciale,8,,,largo Carducci  n.posti  8  -  monofacciale,largo Carducci  n.posti  8  -  monofacciale,ZTL,largo Carducci,trento,http://example.org/cluster/bikerack12-rastrelliere.19
http://linkedgeodata.org/triplify/node1366801180,POINT(11.1259523 46.0689405),http://linkedgeodata.org/triplify/user330007,2011-07-19T18:50:29,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack38,POINT (11.1187184272 46.0697027826),,,,,,,,,,,,qrowd,
http://qrowd-project.eu/resource/rastrelliere.35,"LINESTRING (11.124669447094089 46.065743136175904, 11.124704327122732 46.065744083169015)",,,,monofacciale,8,,,piazza Garzetti  n.posti  8  -  monofacciale,piazza Garzetti  n.posti  8  -  monofacciale,ZTL,piazza Garzetti,trento,http://example.org/cluster/bikerack23-rastrelliere.35
http://qrowd-project.eu/resource/rastrelliere.23,"LINESTRING (11.123449406252238 46.06780938723066, 11.123545437581999 46.067826750297684)",,,,monofacciale,10,,,piazza Lodron  n.posti  10  -  monofacciale,piazza Lodron  n.posti  10  -  monofacciale,ZTL,piazza Lodron,trento,
http://qrowd-project.eu/resource/rastrelliere.10,"LINESTRING (11.12365219058602 46.06950978794351, 11.123588913638981 46.06950968759118)",,,,monofacciale,8,,,piazza C. Battisti  n.posti  8  -  monofacciale,piazza C. Battisti  n.posti  8  -  monofacciale,ZTL,piazza C. Battisti,trento,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack34,POINT (11.1193635627 46.0688038833),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node1211136796,POINT(11.1187207 46.0662349),http://linkedgeodata.org/triplify/user330007,2011-03-20T22:40:39,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack31,POINT (11.1193849947 46.0666094995),,,,,,,,,,,,qrowd,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack37,POINT (11.1240690252 46.0669032779),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node888452720,POINT(11.1216625 46.0708413),http://linkedgeodata.org/triplify/user330007,2011-10-15T14:48:36,,,8,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack12,POINT (11.1241079649 46.0684338942),,,,,,,,,,,,qrowd,http://example.org/cluster/bikerack12-rastrelliere.19
